 0%, 1 , 97.628 , 77.670 ,  96.365
 0%, 2 , 93.651 , 81.715 , 101.738
 0%, 3 , 97.046 , 77.434 ,  95.092
10%, 1 , 95.564 , 88.014 ,  97.995
10%, 2 , 93.661 , 89.418 , 100.608
10%, 3 , 94.855 , 78.707 ,  88.787
20%, 1 , 96.080 , 96.090 ,  95.984
20%, 2 , 89.868 , 81.949 ,  81.909
20%, 3 , 94.637 , 93.407 ,  93.317
